text_id;tweet_cleaned_id;tweet_preprocessed
"Yg pegang tilang elektronik. Orang control. Sekali” orang var juga. Fleksibel

Maap ngor🙏";yg pegang tilang elektronik orang control sekali” orang var juga fleksibel maap ngor;['pegang', 'bukti', 'langgar', 'elektronik', 'orang', 'control', '', 'orang', 'var', 'fleksibel', 'maap', 'ngor']
"@infobdg Cuan cuan cuan..
Sejak penerapan E-Tilang tara ningali polantas, kamarana???????"; cuan cuan cuan sejak penerapan etilang tara ningali polantas kamarana;['cuan', 'cuan', 'cuan', 'terap', 'etilang', 'tara', 'ningali', 'polisi', 'lintas', 'kamarana']
@kumparan Dari taun kemaren ngomong gitu, etilang bla la la tp prakteknya bnyk bapak2 bawa buku ngumpet dibelakang pohon, diujung jalur busway. 😷; dari taun kemaren ngomong gitu etilang bla la la tp prakteknya bnyk bapak bawa buku ngumpet dibelakang pohon diujung jalur busway ;['kemarin', 'bicara', 'gitu', 'etilang', 'bla', 'praktek', 'bawa', 'buku', 'sembunyi', 'belakang', 'pohon', 'ujung', 'jalur', 'busway']
"personil lalu lintas polres badung melaksanakan teguran secara humanis kepada masyarakat yang tidak mempergunakan helm..
.
#polri
#poskopresisi
#polresbadung
#satlantaspolresbadung
#tilangelektronik
#etle
#teguranhumanis https://t.co/lDujVSwFbB";personil lalu lintas polres badung melaksanakan teguran secara humanis kepada masyarakat yang tidak mempergunakan helm         ;['personil', 'lintas', 'polres', 'badung', 'laksana', 'tegur', 'humanis', 'masyarakat', 'helm']
"Barangkali ada yang pernah ngalamin, dapet e-tilang dikirim ke rumah, tapi bukan saya yang melanggar, dan motornga juga bukan motor saya, sepertinya sistem nya salah baca plat nomor gitu. Kita harus gimana ya barangkali ada yang tahu.

Cc, mbok bisa bantu
@TMCPoldaMetro";barangkali ada yang pernah ngalamin dapet etilang dikirim ke rumah tapi bukan saya yang melanggar dan motornga juga bukan motor saya sepertinya sistem nya salah baca plat nomor gitu kita harus gimana ya barangkali ada yang tahu cc mbok bisa bantu ;['barangkali', 'ngalamin', 'etilang', 'kirim', 'rumah', 'langgar', 'motornga', 'motor', 'sistem', 'nya', 'salah', 'baca', 'plat', 'nomor', 'gitu', 'iya', 'barangkali', 'cc', 'mbok', 'bantu']
@txtdrberseragam Jatah tilang ditempat berubah jadi ETLE. Maka e kerjanya setengah hati...; jatah tilang ditempat berubah jadi etle maka e kerjanya setengah hati;['jatah', 'bukti', 'langgar', 'tempat', 'ubah', 'etle', 'e', 'kerja', 'hati']
Sejumlah tokoh masyarakat antusias hadiri sosialisasi ETLE di Kantor Camat Plakat Tinggi https://t.co/HMOUsdu0UJ;sejumlah tokoh masyarakat antusias hadiri sosialisasi etle di kantor camat plakat tinggi ;['tokoh', 'masyarakat', 'antusias', 'hadir', 'sosialisasi', 'etle', 'kantor', 'camat', 'plakat']
Pemkot dan Polres Metro Tangerang Kota Akan Kerja Sama Pengadaan E-TLE di 2023 https://t.co/io5p8nOjek;pemkot dan polres metro tangerang kota akan kerja sama pengadaan etle di  ;['perintah', 'kota', 'polres', 'metro', 'tangerang', 'kota', 'kerja', 'ada', 'etle']
karena sering latah maka skrg isilop menerapkan sistem e-tilang. e tilang e tilang..;karena sering latah maka skrg isilop menerapkan sistem etilang e tilang e tilang;['latah', 'isilop', 'terap', 'sistem', 'etilang', 'e', 'bukti', 'langgar', 'e', 'bukti', 'langgar']
Membayangkan Polisi Menilang 10 Ribu Pelanggaran Tanpa Kamera ETLE #uzoneID #mobil #motor https://t.co/Jbz40eOpNA;membayangkan polisi menilang  ribu pelanggaran tanpa kamera etle    ;['bayang', 'polisi', 'tilang', 'ribu', 'langgar', 'kamera', 'etle']
"Polres Sukoharjo Operasikan 11 Kamera ETLE Statis di Ruang TMC - Republika https://t.co/e0P3e6pp4t
#Sukoharjo #SukoharjoMakmur #BeritaSukoharjo";polres sukoharjo operasikan  kamera etle statis di ruang tmc  republika    ;['polres', 'sukoharjo', 'operasi', 'kamera', 'etle', 'statis', 'ruang', 'tmc', 'republika']
"Bhabinkamtibmas Polsek Pulau Raja AIPDA SUNARSO menghimbau kepada Masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb : 
1. Pengaduan Masyarakat
2. SIM Online
3. Pengurusan STNK Online
4. Tilang  ( ETLE )
5. SP2HP
6. SKCK https://t.co/JBlHYd5zvt";bhabinkamtibmas polsek pulau raja aipda sunarso menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb   pengaduan masyarakat  sim online  pengurusan stnk online  tilang  etle   sphp  skck ;['bhabinkamtibmas', 'polsek', 'pulau', 'raja', 'aipda', 'sunarso', 'menghimbau', 'masyarakat', 'mendownload', 'aplikasi', 'super', 'polri', 'app', 'play', 'store', 'layan', 'online', 'adu', 'masyarakat', 'sim', 'online', 'urus', 'stnk', 'online', 'bukti', 'langgar', 'etle', 'sphp', 'skck']
@fullmoonfolks Terus gimana tilang elektronik ntar kalau masyarakatnya kagamau difoto; terus gimana tilang elektronik ntar kalau masyarakatnya kagamau difoto;['bukti', 'langgar', 'elektronik', 'masyarakat', 'kagamau', 'foto']
#MostPopuler Cara Bayar Denda Tilang ETLE, Bisa di Bank atau Website https://t.co/MZNsb8idQi; cara bayar denda tilang etle bisa di bank atau website ;['bayar', 'denda', 'bukti', 'langgar', 'etle', 'bank', 'website']
